Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,16110.599609,16110.599609,15926.599609,16039.000000,16039.000000,1120378300
2017-12-04,16069.400391,16113.299805,15853.099609,16096.099609,16096.099609,844375000
2017-12-11,16096.000000,16187.900391,16008.500000,16042.000000,16042.000000,1156170900
2017-12-18,16107.799805,16200.799805,16099.599609,16165.299805,16165.299805,834763500
2017-12-25,16180.400391,16232.200195,16131.799805,16209.099609,16209.099609,445232800
2018-01-01,16213.400391,16421.400391,16181.000000,16349.400391,16349.400391,710227100
2018-01-08,16355.400391,16373.500000,16229.299805,16308.200195,16308.200195,1121012700
2018-01-15,16321.799805,16384.500000,16270.599609,16353.500000,16353.500000,1005433800
2018-01-22,16348.900391,16383.799805,16180.700195,16239.200195,16239.200195,1122220000
2018-01-29,16195.700195,16195.700195,15600.900391,15606.000000,15606.000000,1135102200
2018-02-05,15490.099609,15584.099609,14785.799805,15034.500000,15034.500000,1344005300
2018-02-12,15148.099609,15500.799805,15114.000000,15452.599609,15452.599609,1223757300
2018-02-19,15427.200195,15641.099609,15414.599609,15638.500000,15638.500000,786419200
2018-02-26,15701.099609,15766.500000,15286.599609,15384.599609,15384.599609,1090261000
2018-03-05,15340.200195,15611.900391,15334.700195,15577.799805,15577.799805,761720600
2018-03-12,15579.599609,15791.200195,15549.000000,15711.299805,15711.299805,1143735300
2018-03-19,15693.099609,15741.500000,15203.900391,15223.700195,15223.700195,1097544800
2018-03-26,15334.200195,15390.799805,15150.500000,15367.299805,15367.299805,868041400
2018-04-02,15351.200195,15371.400391,14991.200195,15207.400391,15207.400391,1008729900
2018-04-09,15268.400391,15349.599609,15216.000000,15274.000000,15274.000000,968154100
2018-04-16,15298.799805,15576.700195,15266.900391,15484.299805,15484.299805,949275800
2018-04-23,15503.400391,15682.299805,15430.599609,15668.900391,15668.900391,915628400
2018-04-30,15676.799805,15752.500000,15548.700195,15729.400391,15729.400391,993336000
2018-05-07,15759.700195,16030.400391,15759.700195,15983.299805,15983.299805,1120600800
2018-05-14,16023.900391,16179.500000,16016.900391,16162.299805,16162.299805,1042819600
2018-05-21,16179.299805,16238.799805,16059.700195,16075.700195,16075.700195,814331500
2018-05-28,16059.400391,16095.200195,15884.299805,16043.500000,16043.500000,938677100
2018-06-04,16064.900391,16249.200195,16038.000000,16202.700195,16202.700195,919927800
2018-06-11,16229.200195,16351.599609,16220.500000,16314.400391,16314.400391,1129612200
2018-06-18,16275.500000,16489.500000,16253.299805,16450.099609,16450.099609,1040408400
2018-06-25,16381.500000,16384.800781,16112.599609,16277.700195,16277.700195,1166730500
2018-07-02,16332.400391,16378.599609,16227.299805,16371.799805,16371.799805,542173700
2018-07-09,16402.699219,16586.500000,16382.299805,16561.099609,16561.099609,862257200
2018-07-16,16531.099609,16564.400391,16424.800781,16435.500000,16435.500000,855361400
2018-07-23,16444.500000,16512.300781,16351.000000,16394.000000,16394.000000,891386100
2018-07-30,16443.000000,16443.000000,16266.599609,16420.199219,16420.199219,892891200
2018-08-06,16491.599609,16494.099609,16235.599609,16326.500000,16326.500000,781066400
2018-08-13,16318.299805,16371.900391,16075.299805,16323.700195,16323.700195,1014216400
2018-08-20,16332.099609,16400.900391,16296.400391,16356.099609,16356.099609,1011140400
2018-08-27,16416.099609,16475.300781,16252.400391,16262.900391,16262.900391,1026369900
2018-09-03,16276.299805,16276.299805,15994.299805,16090.299805,16090.299805,949389800
2018-09-10,16121.000000,16147.099609,15975.799805,16013.500000,16013.500000,1099046900
2018-09-17,16046.500000,16267.700195,16045.299805,16224.099609,16224.099609,1557274900
2018-09-24,16244.500000,16300.700195,16063.700195,16073.099609,16073.099609,1191846400
2018-10-01,16152.299805,16193.099609,15895.500000,15946.200195,15946.200195,1168013900
2018-10-08,15891.299805,15917.799805,15317.099609,15414.299805,15414.299805,1246333500
2018-10-15,15441.400391,15579.799805,15380.700195,15470.099609,15470.099609,1360715900
2018-10-22,15488.099609,15492.900391,14732.000000,14888.299805,14888.299805,1484994000
2018-10-29,14987.000000,15222.900391,14639.700195,15119.299805,15119.299805,1439938600
2018-11-05,15136.799805,15393.099609,15136.799805,15274.400391,15274.400391,1332362800
2018-11-12,15263.200195,15263.700195,15046.799805,15155.500000,15155.500000,1390252200
2018-11-19,15137.400391,15195.400391,14810.599609,15010.700195,15010.700195,1027054100
2018-11-26,15066.700195,15251.200195,14907.500000,15197.799805,15197.799805,1272223300
2018-12-03,15358.900391,15378.900391,14763.900391,14795.099609,14795.099609,1099287000
2018-12-10,14769.599609,14957.799805,14567.299805,14595.099609,14595.099609,1361540400
2018-12-17,14567.599609,14577.599609,13924.400391,13935.400391,13935.400391,1944118900
2018-12-24,13857.799805,14326.900391,13776.900391,14222.000000,14222.000000,672953800
2018-12-31,14312.400391,14438.599609,14112.799805,14426.599609,14426.599609,884500800
2019-01-07,14471.000000,14956.200195,14383.099609,14939.200195,14939.200195,1299309500
2019-01-14,14881.000000,15325.599609,14881.000000,15303.799805,15303.799805,1270112600
2019-01-21,15300.400391,15388.000000,15141.500000,15366.099609,15366.099609,953190000
2019-01-28,15289.099609,15569.000000,15276.900391,15506.299805,15506.299805,1204400100
2019-02-04,15527.400391,15745.400391,15513.700195,15633.299805,15633.299805,1146816700
2019-02-11,15660.500000,15866.599609,15545.900391,15838.200195,15838.200195,1239945800
2019-02-18,15856.900391,16071.000000,15831.900391,16013.000000,16013.000000,1125947800
2019-02-25,16051.000000,16122.099609,15975.099609,16068.299805,16068.299805,1259513600
2019-03-04,16088.599609,16145.799805,15891.900391,15996.200195,15996.200195,1342525900
2019-03-11,16028.099609,16212.599609,16028.099609,16140.400391,16140.400391,1582683100
2019-03-18,16149.099609,16275.299805,16043.900391,16089.299805,16089.299805,1324517000
2019-03-25,16066.299805,16212.700195,16021.000000,16102.099609,16102.099609,1172765100
2019-04-01,16187.900391,16396.199219,16153.599609,16396.199219,16396.199219,996193900
2019-04-08,16373.099609,16487.099609,16294.299805,16480.500000,16480.500000,1022186300
2019-04-15,16459.900391,16615.099609,16443.300781,16612.800781,16612.800781,926467900
2019-04-22,16607.199219,16672.699219,16515.500000,16613.500000,16613.500000,1166044800
2019-04-29,16612.099609,16642.099609,16402.199219,16494.400391,16494.400391,1066782000
2019-05-06,16332.799805,16493.500000,16139.000000,16297.599609,16297.599609,1117591400
2019-05-13,16158.200195,16461.900391,16111.299805,16401.800781,16401.800781,1031316300
2019-05-20,16383.299805,16426.500000,16105.500000,16230.000000,16230.000000,852346700
2019-05-27,16241.400391,16355.500000,15963.299805,16037.500000,16037.500000,1072241100
2019-06-03,16053.500000,16277.400391,15960.900391,16231.000000,16231.000000,1001287800
2019-06-10,16234.400391,16325.400391,16190.900391,16301.900391,16301.900391,896825000
2019-06-17,16301.700195,16603.900391,16286.500000,16525.400391,16525.400391,1323278500
2019-06-24,16527.099609,16547.800781,16268.200195,16382.200195,16382.200195,1001840300
2019-07-01,16463.599609,16598.300781,16381.700195,16542.000000,16542.000000,512643700
2019-07-08,16473.300781,16641.800781,16421.699219,16488.099609,16488.099609,872029400
2019-07-15,16505.599609,16573.699219,16445.099609,16485.900391,16485.900391,859895600
2019-07-22,16504.900391,16623.900391,16458.400391,16531.000000,16531.000000,835854600
2019-07-29,16549.400391,16549.400391,16206.400391,16271.700195,16271.700195,1176241200
2019-08-05,16111.000000,16423.199219,15994.299805,16341.299805,16341.299805,1038822800
2019-08-12,16325.599609,16375.000000,15964.400391,16149.799805,16149.799805,859275300
2019-08-19,16218.299805,16335.099609,16003.099609,16037.599609,16037.599609,717523600
2019-08-26,16133.599609,16456.500000,16069.900391,16442.099609,16442.099609,944616200
2019-09-02,16382.500000,16604.400391,16328.400391,16535.300781,16535.300781,846513100
2019-09-09,16565.199219,16756.099609,16459.400391,16682.400391,16682.400391,1163911200
2019-09-16,16706.300781,16947.199219,16698.300781,16899.699219,16899.699219,1497265600
