Date,Open,High,Low,Close,Adj Close,Volume
2013-03-04,15.278571,15.551071,14.964286,15.418571,13.316727,2541394800
2013-03-11,15.348214,15.865357,15.183571,15.845000,13.685027,2293533200
2013-03-18,15.766071,16.503571,15.757143,16.496786,14.247967,2219994000
2013-03-25,16.596071,16.783930,15.772143,15.809286,13.654181,1569506400
2013-04-01,15.782143,15.846429,14.988571,15.114286,13.053926,2024610000
2013-04-08,15.173214,15.642500,15.088929,15.350000,13.257508,1550348800
2013-04-15,15.250000,15.281786,13.753571,13.947500,12.046194,2843920800
2013-04-22,14.022857,14.956071,13.973929,14.900000,12.868852,3212745200
2013-04-29,15.016071,16.186787,15.000000,16.070715,13.879974,2621903200
2013-05-06,16.275356,16.633928,16.088572,16.177500,13.972199,2186332400
2013-05-13,16.125357,16.353571,14.960714,15.473571,13.452692,2536788800
2013-05-20,15.425357,16.012501,15.360714,15.898214,13.821874,1979826800
2013-05-27,16.067858,16.325001,15.692857,16.061787,13.964083,1454544000
2013-06-03,16.097500,16.229643,15.456071,15.778929,13.718169,1777140400
2013-06-10,15.883214,16.038570,15.303571,15.358929,13.353023,1559191200
2013-06-17,15.408571,15.560714,14.575000,14.767857,12.839143,1603809200
2013-06-24,14.550000,14.595000,13.888214,14.161786,12.312227,2078395200
2013-07-01,14.381786,15.117500,14.329286,14.907857,12.960859,1375872400
2013-07-08,15.003929,15.349643,14.656429,15.232500,13.243102,1537984000
2013-07-15,15.178929,15.531071,15.148929,15.176786,13.194668,1145046000
2013-07-22,15.337857,15.878214,14.953929,15.749643,13.692706,1598774800
2013-07-29,15.742857,16.530357,15.721429,16.519285,14.361835,1361472000
2013-08-05,16.596071,16.853214,16.201786,16.230356,14.110637,1475213600
2013-08-12,16.316429,18.008928,16.308214,17.940357,15.700294,2855347600
2013-08-19,18.012142,18.347857,17.792856,17.893572,15.659350,1672025600
2013-08-26,17.883928,18.221430,17.357143,17.400715,15.228034,1574717200
2013-09-02,17.610714,17.937143,17.405357,17.793571,15.571837,1272854800
2013-09-09,18.035713,18.139999,16.596430,16.603571,14.530426,2685466000
2013-09-16,16.464287,17.091070,15.972143,16.693214,14.608874,2503793600
2013-09-23,17.717857,17.746786,17.168571,17.241072,15.088324,1908670400
2013-09-30,17.044643,17.583929,16.943214,17.251072,15.097073,1484845600
2013-10-07,17.377144,17.637142,17.081429,17.600357,15.402744,1451276400
2013-10-14,17.493929,18.187857,17.476786,18.174643,15.905326,1377208000
2013-10-21,18.277500,19.043928,18.143929,18.784286,16.438847,1968450400
2013-10-28,18.894285,19.258928,18.376429,18.572500,16.253504,2090998000
2013-11-04,18.610714,18.888929,18.299286,18.591429,16.270071,1275153600
2013-11-11,18.571072,18.902857,18.371786,18.749643,16.504330,1229289600
2013-11-18,18.749643,18.828215,18.345358,18.564285,16.341173,1133552000
2013-11-25,18.607857,19.940357,18.607143,19.859644,17.481405,1312270400
2013-12-02,19.928572,20.540714,19.672144,20.000713,17.605583,2093254800
2013-12-09,20.032143,20.391787,19.773930,19.801071,17.429853,1553594000
2013-12-16,19.822144,20.094286,19.242857,19.607857,17.259775,1835080800
2013-12-23,20.285713,20.424286,19.982143,20.003214,17.607782,1098753600
2013-12-30,19.909286,20.045713,19.301071,19.320715,17.007013,1103866400
2014-01-06,19.194643,19.530714,18.968214,19.033571,16.754261,1572474400
2014-01-13,18.925358,20.007143,18.924286,19.309643,16.997271,1758710800
2014-01-20,19.321072,19.903214,19.300714,19.502501,17.167040,1541106000
2014-01-27,19.645357,19.814285,17.626785,17.878571,15.737575,3266510800
2014-02-03,17.950357,18.676071,17.832144,18.559999,16.337400,1734535600
2014-02-10,18.523571,19.499287,18.500000,19.428213,17.204008,1516239200
2014-02-17,19.500000,19.685356,18.735714,18.758928,16.611347,1158662400
2014-02-24,18.683929,19.026787,18.414286,18.794287,16.642654,1470929600
2014-03-03,18.693571,19.098213,18.671785,18.944286,16.775484,1104202400
2014-03-10,18.870001,19.273571,18.678572,18.738930,16.593637,1152076800
2014-03-17,18.846430,19.151428,18.757143,19.031071,16.852333,1216392800
2014-03-24,19.229286,19.607143,19.080357,19.173571,16.978519,1360357600
2014-03-31,19.258215,19.410000,18.949286,18.993570,16.819132,987445200
2014-04-07,18.857857,19.008572,18.469286,18.557501,16.432974,1251278000
2014-04-14,18.639286,18.848572,18.261786,18.747856,16.601545,971264000
2014-04-21,18.762142,20.428213,18.712856,20.426430,18.087952,1930238800
2014-04-28,20.457144,21.408215,20.448214,21.163570,18.740704,1899066400
2014-05-05,21.076429,21.586071,20.726070,20.912144,18.518057,1466390800
2014-05-12,20.981787,21.340357,20.907143,21.339643,19.002163,1046452400
2014-05-19,21.351786,21.954643,21.333214,21.933214,19.530710,1182420400
2014-05-26,21.995714,23.006071,21.986786,22.607143,20.130816,1604842400
2014-06-02,22.641430,23.259287,22.232143,23.056070,20.530565,1651286000
2014-06-09,23.174999,23.762501,22.719999,22.820000,20.320364,1172588000
2014-06-16,22.877501,23.187500,22.725000,22.727501,20.237995,940908000
2014-06-23,22.830000,23.000000,22.412500,22.995001,20.476191,865028000
2014-06-30,23.025000,23.525000,23.022499,23.507500,20.932554,556248400
2014-07-07,23.535000,24.200001,23.379999,23.805000,21.197462,927320000
2014-07-14,23.965000,24.275000,23.142500,23.607500,21.021603,995880800
2014-07-21,23.747499,24.469999,23.430000,24.417500,21.742874,1105568000
2014-07-28,24.455000,24.860001,23.702499,24.032499,21.400043,947300000
2014-08-04,24.092501,24.145000,23.320000,23.684999,21.090609,892100000
2014-08-11,23.817499,24.547501,23.709999,24.495001,21.920380,717452000
2014-08-18,24.622499,25.367500,24.495001,25.330000,22.667614,989328000
2014-08-25,25.447500,25.725000,25.174999,25.625000,22.931606,955384000
2014-09-01,25.764999,25.934999,24.447500,24.742500,22.141867,1292640000
2014-09-08,24.825001,25.770000,24.035000,25.415001,22.743679,1848207200
2014-09-15,25.702499,25.762501,24.722500,25.240000,22.587076,1189411600
2014-09-22,25.450001,25.735001,24.430000,25.187500,22.540094,1355299600
2014-09-29,24.662500,25.385000,24.510000,24.905001,22.287287,990996400
2014-10-06,24.987499,25.594999,24.577499,25.182501,22.535618,1121032800
2014-10-13,25.332500,25.445000,23.795000,24.417500,21.851023,1434159200
