Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,15270.400391,15363.400391,15254.000000,15328.200195,15328.200195,814130800
2016-12-26,15375.099609,15432.599609,15276.799805,15287.599609,15287.599609,444795000
2017-01-02,15366.799805,15621.400391,15340.000000,15496.099609,15496.099609,862823300
2017-01-09,15475.500000,15513.900391,15380.099609,15497.299805,15497.299805,1081570900
2017-01-16,15494.900391,15573.200195,15366.200195,15547.900391,15547.900391,905930100
2017-01-23,15531.000000,15674.299805,15421.200195,15575.799805,15575.799805,1031234300
2017-01-30,15544.099609,15544.099609,15313.000000,15476.400391,15476.400391,1070804800
2017-02-06,15488.900391,15736.599609,15414.099609,15729.099609,15729.099609,1068592400
2017-02-13,15750.700195,15865.500000,15713.500000,15838.599609,15838.599609,1028855700
2017-02-20,15873.799805,15943.099609,15513.799805,15533.500000,15533.500000,945306700
2017-02-27,15544.299805,15631.400391,15396.299805,15608.500000,15608.500000,1458012700
2017-03-06,15570.700195,15645.599609,15422.099609,15506.700195,15506.700195,1092970900
2017-03-13,15495.500000,15623.299805,15370.900391,15490.500000,15490.500000,1423752500
2017-03-20,15490.799805,15519.500000,15241.599609,15442.700195,15442.700195,987413100
2017-03-27,15368.700195,15664.099609,15332.099609,15547.799805,15547.799805,1015388800
2017-04-03,15587.000000,15758.400391,15457.799805,15667.099609,15667.099609,1011024200
2017-04-10,15657.299805,15757.799805,15529.000000,15535.500000,15535.500000,773422300
2017-04-17,15562.299805,15687.799805,15532.799805,15614.500000,15614.500000,965652400
2017-04-24,15693.900391,15792.599609,15427.299805,15586.099609,15586.099609,1183857400
2017-05-01,15601.700195,15656.000000,15367.400391,15582.000000,15582.000000,1186453300
2017-05-08,15624.900391,15672.200195,15505.099609,15537.900391,15537.900391,1111041100
2017-05-15,15625.700195,15700.599609,15164.700195,15458.500000,15458.500000,886370100
2017-05-22,15521.099609,15538.799805,15326.900391,15416.900391,15416.900391,773586900
2017-05-29,15420.299805,15493.900391,15254.099609,15442.799805,15442.799805,998429600
2017-06-05,15420.599609,15505.200195,15342.799805,15473.200195,15473.200195,1006696000
2017-06-12,15476.299805,15594.200195,15078.000000,15192.500000,15192.500000,1790049100
2017-06-19,15242.900391,15344.599609,15125.099609,15319.599609,15319.599609,958518100
2017-06-26,15331.000000,15378.700195,15114.599609,15182.200195,15182.200195,885822900
2017-07-03,15217.400391,15242.599609,14915.799805,15027.200195,15027.200195,589939400
2017-07-10,15013.799805,15297.000000,14987.799805,15174.799805,15174.799805,775666000
2017-07-17,15186.299805,15319.200195,15086.299805,15183.099609,15183.099609,719623500
2017-07-24,15170.500000,15276.000000,15070.799805,15128.700195,15128.700195,812306100
2017-07-31,15150.000000,15324.599609,15052.400391,15258.000000,15258.000000,828050200
2017-08-07,15267.400391,15287.900391,14995.299805,15033.400391,15033.400391,710142000
2017-08-14,15087.099609,15196.099609,14923.200195,14952.299805,14952.299805,741526800
2017-08-21,14946.799805,15108.200195,14918.599609,15056.000000,15056.000000,601666400
2017-08-28,15067.400391,15228.099609,14934.000000,15191.599609,15191.599609,777785300
2017-09-04,15186.099609,15186.099609,14953.900391,14985.299805,14985.299805,650189600
2017-09-11,15023.000000,15183.799805,15015.599609,15173.000000,15173.000000,1237665700
2017-09-18,15175.799805,15479.200195,15173.599609,15454.200195,15454.200195,909611500
2017-09-25,15453.599609,15692.000000,15437.799805,15634.900391,15634.900391,942656800
2017-10-02,15640.000000,15787.299805,15619.200195,15728.299805,15728.299805,808609700
